,month,label,return,beta,book_to_price_ratio,earnings_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size,administration_expense_ttm,EBIT,EBITDA,goods_sale_and_service_render_cash_ttm,interest_carry_current_liability,interest_free_current_liability,net_debt,net_working_capital,non_recurring_gain_loss,OperateNetIncome,retained_earnings,money_flow_20,PSY,TVMA6,VDEA,VEMA10,VOL10,WVAD,CCI10,CR20,fifty_two_week_close_rank,Price1M,Rank1M,ROC12,ROC120,single_day_VPT,single_day_VPT_12,Volume1M,capital_reserve_fund_per_share,cashflow_per_share_ttm,cash_and_equivalents_per_share,net_asset_per_share,net_operate_cash_flow_per_share,operating_profit_per_share,operating_revenue_per_share,retained_earnings_per_share,retained_profit_per_share,surplus_reserve_fund_per_share,total_operating_revenue_per_share,ACCA,accounts_payable_turnover_days,accounts_payable_turnover_rate,adjusted_profit_to_total_profit,admin_expense_rate,cash_to_current_liability,current_asset_turnover_rate,current_ratio,DEGM,gross_income_ratio,total_profit_to_cost_ratio,Kurtosis120,sharpe_ratio_120,Skewness120,Variance120,boll_down,EMA5,EMAC20,MFI14
000001.XSHE,11,1,-0.05899532217470053,0.6486361703269119,0.3582146878262948,0.19522207820843596,0.6626354395806586,0.19696335599705295,0.40841671173101696,0.44763880918682064,0.37868571250350874,0.3080832516997244,0.7835597428803309,0.002002939616897702,0.04572131536231145,0.035584070241215175,0.005317155929121955,0.01000026990328513,0.011072460647243756,0.04965148192552615,0.6517617677716888,0.0697376803875099,0.1820054465196977,0.016144235745208978,0.25124767530444264,0.4545454565289256,0.22172399561571782,0.055598738090307284,0.003144022335035955,0.03777321402376412,0.5357743711083106,0.3489941465089855,0.06241900294957273,0.10849056603773585,0.10390721358995601,0.9287026700038719,0.10717019740557385,0.02432929721367133,0.6080634371823085,0.2994305093245166,0.36618319239636826,0.32239589953136233,0.45780815511085693,0.2869880711946409,0.34410696566166177,0.16886067991615727,0.4227462294388273,0.031914591109161755,0.3569466575299237,0.3804214807604506,0.12114639530480514,0.031914591109161755,0.39046306958381316,0.38069877584766465,0.03689293303906596,0.3436038284764135,0.042906438730221444,0.26944731885946666,0.07969882840725627,0.0626310457274662,0.5683279548668562,0.6457036568636076,0.3144976564674512,0.04240652744893594,0.1407597819625049,0.16998197597146203,0.0014791121471431216,0.9499464980982097,0.6467000522516773,0.8141471698847713,0.06304370831705652
000002.XSHE,11,1,-0.1007528071857251,0.7048460693147294,0.39151110660326327,0.6319560896270207,0.607611765764145,0.1696516928155845,0.6139367019776704,0.36965341969596205,0.19444890947869461,0.19909106902122425,0.8765634514484453,0.03293407257385398,0.06357941452414283,0.037768826972798805,0.03749786589885777,0.06986592917570096,0.18782209822508703,0.008284768078451242,1.0,0.14862479806481912,0.16737755050457956,0.03486021502144172,0.6965971682809748,0.4545454565289256,0.749812636588251,0.05982995533269243,0.0076912599168443745,0.08119407363943083,0.5339779470454735,0.2511529669150187,0.05588467653017404,0.3632075471698113,0.10420079875411906,0.9489857436151299,0.11389414703288205,0.009926010569280455,0.6142990791766024,0.22725882588951335,0.36455939329293996,0.2294716165395841,0.5399367867210396,0.28867567487414264,0.20517471106740848,0.2428998396487251,0.25117018756837844,0.01954720745158402,0.33572341502188174,0.335290505745032,0.2884021132616515,0.01954720745158402,0.42411169600263204,0.38858356406259503,0.03098350614686283,0.3415463038105545,0.02495738834005844,0.26810834366020725,0.035495019288369914,0.06999714866583973,0.5676893197889173,0.7360997038232512,0.33504225609932636,0.04267087745995317,0.08672751971783194,0.11434422704056599,0.0015026754340010193,0.9738350223149388,0.7021191985609971,0.8572485207100597,0.26490401455602985
000004.XSHE,11,0,0.005604161029433834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000005.XSHE,11,1,-0.1436495703138498,0.6493062451614094,0.1714150422689361,0.318963483148353,0.6340214413633501,0.07662412224528548,0.6739439047941735,0.38321293288936514,0.9951667270445925,0.38864288867271424,0.3241083947970035,0.002919726014898583,0.04572131536231145,0.019194160328344055,0.0005691910217544711,0.0010619014189924988,0.001568633095206477,0.0003718192593538714,0.6477652770758775,0.07131045043222035,0.15391202207182217,0.005211460602386506,0.10510016928564657,0.6363636304132232,0.17523478155223277,0.0895478767388199,0.038613154992550795,0.3574152853161215,0.5562588410830188,0.7061720938406237,0.25276195471455637,0.0,0.571146315084372,0.03318992388583801,0.43527026739950336,0.02992209228447493,0.5923425924134382,0.5047770125387313,0.49564359992229223,0.19964670004766724,0.5218564703944786,0.28555660366834645,0.09433931536720239,0.23682768826290854,0.2176138557986659,0.0012092531549452194,0.22820965507621133,0.24881578897917514,0.07878432532589728,0.0012092531549452194,0.4398091791413062,0.39613089068850793,0.02873249139582606,0.34417292309719305,0.2322303580538936,0.2684248729791645,0.028212457071401416,0.010660892272315805,0.5636870035936119,0.711870795589428,0.2879121125434632,0.03569329655903874,0.2853336650705799,0.13196795494921731,0.0020738434743574913,0.47945347132927507,0.37241573839018516,0.3964716015260046,0.6950630070266959
000006.XSHE,11,1,-0.1002454211432681,0.8216090962481137,0.41291093488571035,0.5311435915085567,0.402162290349751,0.2390542225811404,0.4752295664024137,0.3958960317525247,0.9996473289365407,0.26542932019166365,0.3457557015736566,0.0034257737806069723,0.043889985300393446,0.019841614143554596,0.0018195734240722145,0.004157204810328915,0.005099226238865511,0.0008357029225117996,0.6766556056707591,0.08861898631029463,0.15484600687114733,0.007292890569915332,0.06414229705156811,0.6363636304132232,0.08111734861409149,0.06021118663790511,0.005343967347535118,0.14276807980049874,0.5360293183518141,0.3866488479040872,0.13008237032097755,0.16981132075471697,0.1987419706988508,0.5445608312475799,0.17180146628701234,0.009619020393181323,0.5750788414429796,0.35491352046552493,0.3796464296579759,0.26043638322528984,0.5626644513749129,0.2878568771904145,0.2303951601626532,0.26508415697853255,0.250614409243422,0.008455747408830016,0.33981313825791937,0.33219038767059783,0.34388245825171243,0.008455747408830016,0.46844053298239846,0.3872244404908005,0.03194212231326782,0.34039411946105863,0.041135035480729096,0.267850863194678,0.02435116783663563,0.12129273250961624,0.569725401820964,0.8274136213915548,0.3267100201450782,0.03452664646892289,0.0699359531803913,0.09863985826320737,0.0018708783572704767,0.8469216174658982,0.6685347797337466,0.741063434288384,0.6528010279263894
000007.XSHE,11,0,0.03380372718995442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.XSHE,11,0,-0.2158244103991375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000009.XSHE,11,1,-0.05251549709022427,0.7458517358171342,0.18496649777962285,0.5382368807102077,0.6433176053055517,0.13894502827064764,0.5976396751776581,0.5656735139671137,0.9251468862983694,0.33959587623555854,0.4797896065520932,0.006947785589816671,0.04459579379547967,0.020382843237886233,0.00350963895661719,0.005106306570762442,0.007272709350476006,0.0008193523775383428,0.664046970866755,0.088494792272258,0.15450770006272627,0.007068273015362961,0.12440540177020544,0.6363636304132232,0.11164923515921735,0.0648877172679839,0.025881209140011126,0.11401642951444917,0.5260600815077141,0.2616619778335215,0.07393077415426413,0.1792452830188679,0.07836024249459651,0.8764590430628888,0.09529361585121804,0.021286577532408864,0.577278208547428,0.31388571007383825,0.36927684125256127,0.19253949784132218,0.5418934592942694,0.2318035451485544,0.13769619159879623,0.23883523170067467,0.2523008016975936,0.013923125622232038,0.2862126416708015,0.31562704963338084,0.04198965723574353,0.013923125622232038,0.4011412238855075,0.3865339751003294,0.03260017529042329,0.3412676102730731,0.036662550438291364,0.22233369536994047,0.045806117688078934,0.06748904450976767,0.569600919371185,0.7386259877551062,0.32640705012360693,0.03572543131525737,0.11545827786104434,0.1214459285201679,0.0018533892840163317,0.9741542353424271,0.7146873453835867,0.8575964458112741,0.28288595632153846
000010.XSHE,11,0,-0.02864241431303195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000011.XSHE,11,1,-0.1271212695683371,0.3736853867195147,0.13204442955806317,0.5842090103811972,0.3673489414246813,0.32696113378885094,0.7961172854880822,0.7029249068216268,0.9997269798161792,1.0000000000000002,0.361278997615438,0.004812475325453498,0.04314174469653434,0.020065875915582204,0.001487627770217575,0.0038176173764844865,0.0033560736952509907,0.00048486965984757813,0.65307906583808,0.07150090651355344,0.15532801095435006,0.006210795510366566,0.07722355771774564,0.5454545434710744,0.07498446481275683,0.08010017966022992,0.023417048755604814,0.5001100190699721,0.5379266554854775,0.2536418307969337,0.15904524746630877,0.04716981132075471,0.16214168689985878,0.10018394341403496,0.17675030382434515,0.050827440099530385,0.5653018195840217,0.3632062605467668,0.4071887015838456,0.18394979223571647,0.5392480957982744,0.28801865598444143,0.11383731645777188,0.24576098342927916,0.26249227491464,0.010711275550078687,0.2689294220637515,0.29600046343340647,0.05086252332999623,0.010711275550078687,0.45178072051324236,0.3844099786669004,0.036159634467764934,0.34378807837779163,0.04791840591809285,0.2697900916252819,0.044921947728688245,0.04824324970392437,0.5782682181481088,0.8052166273921211,0.3573047622516538,0.2879784413242467,0.47041418112933403,0.4455313696040489,0.003127157361340495,0.8090072025249302,0.7273063566708733,0.6828090937402678,0.4065941135879966
000012.XSHE,11,1,-0.0459717702026579,0.798892813251991,0.28172391371350214,0.516306510155413,0.6176937859298208,0.16958182528115842,0.692942174771892,0.3551961625353399,0.7706016280447868,0.3221406443718069,0.586260155618968,0.010584141317555975,0.0504533218566777,0.021833746840648566,0.003710897097088446,0.02021033821871279,0.005980486438042067,0.0008179750168302401,0.6338675537355071,0.088590816630852,0.1610588374575007,0.009155286193595923,0.1354184359865762,0.7272727282644629,0.15480551658537023,0.06236384893325056,0.01154461380303501,0.17947777614786564,0.542525929439619,0.9830360843610688,0.18811170798471633,0.009433962264150945,0.412136203268919,0.1063307961946,0.31010317752931005,0.012474956609661511,0.7335510340641738,0.48461672932663824,0.4665141835002951,0.28925945829127564,0.5072936933281947,0.28762751371351447,0.24962019129704577,0.2527265562265066,0.33820802911049413,0.03309380651185895,0.3367551565355769,0.3544745234094132,0.1539490685827214,0.03309380651185895,0.4198017766079948,0.3877129232993033,0.03155481817283664,0.3432889696711279,0.04143360697555772,0.26831535795449274,0.12814370704252961,0.00924468973616218,0.5698944580935275,0.7330194793301085,0.3218219668208601,0.03351560822484982,0.114947274910098,0.07648092453614276,0.0021217310387166466,0.686961421681908,0.3155076504778944,0.4899515337900966,0.6985941281653316
000014.XSHE,11,1,-0.1369687832676484,0.6990143575790757,0.161886447836862,0.6626835057023766,0.3378161210921848,0.15132723779987836,0.3991140086927448,0.4985137918017056,0.9324450181013821,0.42499842350714645,0.24584293929354817,0.0032345823400913402,0.042950834831715703,0.019657655727618194,0.0012298216694024992,0.003416706914652321,0.0019874666937918593,0.00042103360027114455,0.6532980878101805,0.07152147988300303,0.15505634627589365,0.006354280728077705,0.036539961858349214,0.6363636304132232,0.058376810014557586,0.059724883875871486,0.004314012605502869,0.16165468681238082,0.539452967355989,0.5561993772165248,0.11505529372550519,0.009433962264150945,0.2908956540959349,0.401351999498803,0.26130522159122227,0.01645501116334221,0.5653206714952019,0.3593610196864206,0.39940692845387205,0.1843600784642803,0.5218564703944786,0.3171219699465826,0.16179045828440652,0.2984000456206499,0.3154677891651618,0.020271904937376094,0.32489729821880287,0.33419095296604506,0.2107282813031459,0.020271904937376094,0.6578158414212865,0.38227812774536124,0.049359328572419064,0.3433631209194443,0.03800554241454478,0.2811014945653884,0.039185066119933554,0.05609059117337376,0.5727939441786716,0.8171571619755752,0.3746000169977016,0.033187386831118396,0.15009603235076108,0.09173556088733306,0.0020858273630475132,0.7425554426570513,0.6165050563901944,0.6437295624416071,0.5304052513167609
000016.XSHE,11,1,-0.05655800113272832,0.628146660408845,0.6306623941704091,0.5019921907100531,0.4506956585736832,0.17897001234014878,0.6919748806449175,0.4763806411046063,0.989519191783484,0.3076717539254672,0.3993687810555185,0.011830957890666485,0.04314164759430794,0.01976716159846175,0.010094273839360929,0.023589572193494064,0.020054485513241464,0.0011460819825229907,0.6636101686279472,0.07822911018625019,0.15465641308244193,0.008472521105705743,0.0762572553573095,0.6363636304132232,0.08086961936748076,0.06276579831866408,0.013552733585373246,0.23265365996772774,0.5397978299361125,0.6114314678570281,0.15727598023958758,0.009433962264150945,0.3432432386830512,0.11862347471265901,0.3103989258087815,0.0238430060303597,0.6089347466008642,0.4738422047943792,0.4018261325357291,0.24635506314836145,0.518944558770158,0.27667683611176946,0.20502196394980837,0.2297617970043427,0.2342012524264255,0.08623243255409886,0.32010166256681755,0.3140991190229434,0.3220840274920579,0.08623243255409886,0.38053956242803094,0.3878873401314495,0.031429282535286936,0.3410040115332553,0.027088840962849588,0.26374696788142893,0.07160985332724631,0.04400208653915145,0.5696640822770139,0.6885169628034733,0.2987601951186711,0.02948713668458838,0.2380977899202116,0.08639006130108205,0.0013213676992777231,0.6675718529042391,0.5199365581403943,0.5470088173466214,0.6051068049102633
000017.XSHE,11,0,0.005604161029433834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000018.XSHE,11,0,0.07195487192990782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000019.XSHE,11,1,-0.03256377790186391,0.7179985084972665,0.2642105316954121,0.39614632939777017,0.7039492341786125,0.12583633658579557,0.6274631126788268,0.24708602096498777,0.6325143527526337,0.31570647047583955,0.11379504346928204,0.0028126419027460353,0.04195125852314433,0.019227176771064995,0.0006587688771481595,0.0010373210245672427,0.00010391566158147932,0.0003392912005547471,0.6501051943863017,0.07195043811465057,0.15407411038218252,0.006036271608540787,0.015409003207934851,0.8181818152066116,0.022870413378689808,0.06578968778868843,0.011489662637751799,0.3379785829543787,0.5446251315043065,0.6143718843721523,0.19023558280506292,0.0047169811320754715,0.37188297762847305,0.08481835202722895,0.3100761892871433,0.014284764815650955,0.5723279284741772,0.3691488883126928,0.44133246828460104,0.20889465885497976,0.512637804472822,0.2746068511387503,0.14347975716952105,0.23390895709080753,0.24000133791283265,0.00786999788988128,0.27721002562099356,0.30010967664763466,0.08597386655001267,0.00786999788988128,0.3486572627076822,0.38390893957440786,0.037685902028765504,0.3436984069801249,0.0779555679235657,0.2417975020275156,0.056755107094790085,0.04375664435303781,0.570748134526107,0.7061653447526799,0.30646538399395556,0.04059149466697517,0.12158624630134898,0.05861997246519683,0.0019079200910188687,0.6247733287774291,0.5576733669038796,0.5772369394269701,0.7101392934449788
