,month,label,return,beta,book_to_price_ratio,earnings_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size,administration_expense_ttm,EBIT,EBITDA,goods_sale_and_service_render_cash_ttm,interest_carry_current_liability,interest_free_current_liability,net_debt,net_working_capital,non_recurring_gain_loss,OperateNetIncome,retained_earnings,money_flow_20,PSY,TVMA6,VDEA,VEMA10,VOL10,WVAD,CCI10,CR20,fifty_two_week_close_rank,Price1M,Rank1M,ROC12,ROC120,single_day_VPT,single_day_VPT_12,Volume1M,capital_reserve_fund_per_share,cashflow_per_share_ttm,cash_and_equivalents_per_share,net_asset_per_share,net_operate_cash_flow_per_share,operating_profit_per_share,operating_revenue_per_share,retained_earnings_per_share,retained_profit_per_share,surplus_reserve_fund_per_share,total_operating_revenue_per_share,ACCA,accounts_payable_turnover_days,accounts_payable_turnover_rate,adjusted_profit_to_total_profit,admin_expense_rate,cash_to_current_liability,current_asset_turnover_rate,current_ratio,DEGM,gross_income_ratio,total_profit_to_cost_ratio,Kurtosis120,sharpe_ratio_120,Skewness120,Variance120,boll_down,EMA5,EMAC20,MFI14
000001.XSHE,3,1,0.1786493522249497,0.9875495143030693,0.609506380412702,1.0,0.6496437190585725,0.2806084941446541,0.8240243468343267,0.6673785785797606,0.11079875374256115,0.4401843827672075,0.9019592731160289,0.0,0.0523841882788546,0.05872424756816884,0.002908977794084692,0.010647523936567465,0.04034868652877234,0.08732059023316212,0.6437040164737999,0.08984596655809239,0.273265068037255,0.03896684134541766,0.5488208560404295,0.5454545434710744,0.4476331559722871,0.5771838566930269,0.009665974839301029,0.1239418623223127,0.08568778635598889,0.21070821306981596,0.17822973549067248,0.14859437751004015,0.14483100819302902,0.8791021109041127,0.23224845725643362,0.08352199296631395,0.5228130851275705,0.24692143345200335,0.44633098855886544,0.6732297823411939,1.0,1.0,0.5725817853758834,1.0,0.35769301548712185,0.04023690225992673,0.2911918829649749,0.3082092504590019,0.1458178100423665,0.04023690225992673,0.8446978234740233,0.045140000155625054,0.0014184313653527226,0.10569526437363767,0.008922005916794502,0.2791255220075682,0.06778819207260844,0.0015106179465238577,0.15004812214730928,0.6010103793515201,0.2667186186998016,0.04981979170973912,0.21463716351561152,0.20041696142135046,0.0003888037453994097,0.9715187919092242,0.9050462838775859,0.8167950405729425,0.37642792461854657
000002.XSHE,3,1,0.1440319609506466,0.5036907227342513,0.38411687883029766,0.5317421039140438,0.6971625465299811,0.2761917285020984,0.6529622973348441,0.6138408960827562,0.0688521109014043,0.40726761446069093,0.932129672321701,0.03312414258482654,0.31259576279097256,0.06507686233830091,0.036055563491803215,0.24298559840291392,0.5296275395342068,0.0166463004488448,0.9023301298389212,0.6755522151296405,0.3726763261080842,0.0622571507509404,0.3409993538487872,0.4545454565289256,0.2881307707799203,0.5756117302382789,0.004161112801285683,0.04493424905499654,0.08676189473703934,0.4492857706147363,0.16106879184933906,0.13654618473895583,0.31620045317374035,0.6776069984163597,0.3072345845816471,0.06504923638495547,0.8003116352760496,0.30171699597652063,0.4683455446847715,0.10485239949165878,0.289331162847422,0.6084115932216371,0.23379740190992665,0.38457191644618444,0.41601923119771644,0.10022416293334564,0.2574527242841839,0.23761537922966547,0.40960918549408265,0.10022416293334564,0.8086864513018078,0.04117738459592881,0.0016769560913097042,0.10553655983535455,0.002142846149871294,0.27943854998271617,0.01600583725971907,0.0004117793783645114,0.14889827118815746,0.5561151654681374,0.2854853224215523,0.06089067297534505,0.18760815253235905,0.1350269600142382,0.00024300191365908113,0.8588648471197008,0.5826356632924377,0.6110452472561441,0.3964122280850924
000004.XSHE,3,1,0.1231596816763383,0.5127974325739785,0.05319220552121828,0.3567326679029472,0.2685840475561995,0.03954100131884708,0.441072675640437,0.47085491056848766,0.11753316098608008,0.30878819832394117,0.0,0.00020540843618947768,0.04868997128475221,0.005484962588835392,2.2664244668928833e-05,2.2771701530406712e-05,0.00020612402426753679,5.471749963076969e-05,0.6420023709529848,0.09035216735509397,0.22569311441152284,0.00505223355802009,0.004208632397006273,0.5454545434710744,0.0032671381592333003,0.5759549349137222,0.0007952763152195387,0.060054304424213376,0.08681033731859975,0.6107435357235949,0.16836028487286606,0.12449799196787148,0.30418355907346634,0.4964691600955524,0.34460143584056424,0.052643699814848045,0.8305222701921423,0.3291929214468035,0.47903596133315773,0.0417140782280677,0.23155828438382878,0.5389341815987422,0.0789302332897972,0.3641196988378682,0.22888211648804532,0.006409019825497037,0.12990400795007986,0.14672815467325392,0.03430511454167558,0.006409019825497037,0.8098544643576207,0.03604547269694832,0.00238068354904521,0.10514597627773138,0.023683767736215406,0.27413346521818494,0.027385520398024846,0.0009150174991340481,0.15043498526930651,0.6613540268506091,0.2758762723852316,0.05679338871330678,0.1196963836512093,0.1794889772992311,0.00020691245286368493,0.8489561495031838,0.5684516666431358,0.5871087868847689,0.3307333779653472
000005.XSHE,3,1,0.113321868753226,0.6145350366604331,0.18169559819454528,0.38969177821799844,0.31374371744248053,0.10493047812392317,0.2918831541365153,0.2540488567771001,0.8780555070939047,0.2844729729782138,0.20376197024335085,0.0005150908549370949,0.0523841882788546,0.005392973946997264,2.427749177982637e-05,0.0003109436278381316,0.00140502328778381,8.685939920006796e-05,0.64073225936581,0.08984596655809239,0.22551636131969657,0.004539812656238201,0.004651069654208041,0.5454545434710744,0.004809842193062434,0.5735513425611918,0.0025884093075739046,0.02853644252781771,0.08673320269727504,0.4276365240989019,0.10113028380776432,0.9598393574297187,0.2773927946052681,0.7856252297921549,0.304331052472686,0.03622468557023541,0.8289990754101916,0.32845088574487963,0.46162808269595434,0.06487596070441572,0.23155828438382878,0.5426290821889208,0.07310081766855342,0.36164836786172266,0.2208032639561109,0.0030586725040760918,0.11981032425746412,0.1346483002487209,0.042722217318386435,0.0030586725040760918,0.7812634700117966,0.042900325967267165,0.0015478869756882859,0.10589640488015585,0.05558382820500717,0.27757491054032374,0.01956471724356753,5.4119078738368515e-05,0.14328751797153327,0.3461055950126964,0.23122831484883047,0.06655987506168355,0.06268720184027089,0.1808429212935924,0.0002434445089688026,0.8958587267071662,0.6415740753813068,0.6775936014275084,0.40788363339576744
000006.XSHE,3,1,0.1768552413301901,0.7667520243350663,0.44152753734470207,0.8269772483999758,0.60447546368372,0.17900827406361325,0.45851484553444066,0.5154143843970066,0.9975284558003311,0.24182146625873702,0.361344390104073,0.0008594458277735417,0.050647245264565474,0.006846160551776015,0.0010789449324560033,0.001950558609943319,0.010097595526245087,0.0003556556275482949,0.6498417626051093,0.09019527550038504,0.2267241386304845,0.006659336444626631,0.015543036488779693,0.4545454565289256,0.014221622779512517,0.5754999907771302,0.0013129923554114535,0.038066336580950856,0.08681287407088548,0.46737465382740456,0.09236689765207873,0.4899598393574297,0.262044836427311,0.9322803803201376,0.30322029889265073,0.05021105233938001,0.8266285667051214,0.32735196243257275,0.46051175555848034,0.08093849474512335,0.2582842127071143,0.5626213106774602,0.12776214188639623,0.3839966462338051,0.23565809333534693,0.010241296571319627,0.16305011028315797,0.16946419309821656,0.13872050177107995,0.010241296571319627,0.8549850503446044,0.03821986996186505,0.0019979500108583837,0.105708101147191,0.001964096515173127,0.28087959869060086,0.020589990723468603,0.0005130529790732648,0.14911181499588197,0.6071953232176879,0.29878974648535384,0.048288613083954324,0.10619051167769229,0.12592739300645922,0.00027457997824727784,0.8709886595223936,0.6688690921583298,0.7098967917433392,0.3565584881868157
000007.XSHE,3,1,0.1255403971701768,0.42398840640708624,0.04177755601042338,0.407660720651729,0.2678297029622965,0.15286634531128673,0.6535772819541577,0.7877707863825121,0.9767340019278926,0.9052379846184814,0.2787832323972577,0.0005234204393823866,0.04881944290195178,0.005523106299460535,8.266877385297683e-05,0.0010100005649974532,0.0007584497557072956,6.467584565265309e-05,0.6420341166103171,0.09017989882502164,0.22574102948862607,0.0046867032439604885,0.03521818519662303,0.2727272717355372,0.06648942523071323,0.5808148854848162,0.006060987587690108,0.2629505403822605,0.08589327609737128,0.30744122271082885,0.055050146380325904,0.4377510040160642,0.03970011955929026,0.9837969571924173,0.13838711755163324,0.04108562400999179,0.8279296658293682,0.2996356929661071,0.43901392727786787,0.1628052367216025,0.26638380407450907,0.5771875168533404,0.09042576851503363,0.3880207861393689,0.22811019482893363,0.011541454377479513,0.09447480863976787,0.11127016906086287,0.009702702967774908,0.011541454377479513,0.9306992427162534,0.0431297752531535,0.0015328856863313306,0.10561994886336769,0.014180202502099384,0.30287101934661814,0.049294581280993024,0.0003566337629442323,0.14782882233158892,0.660894763509009,0.2593360557111814,0.0361231934157252,0.0824746669598913,0.12272701572046399,0.0005484935002366739,0.8814482917775851,0.8029911573557715,0.9069840738774249,0.0930564195886409
000008.XSHE,3,0,0.1765536561229443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000009.XSHE,3,1,0.3426208585190185,0.7195117681664045,0.18151240893066012,0.3756103812968015,0.6281087885774619,0.2192370286351234,0.7107251172548414,0.14050484180056455,0.8997623616860426,0.4558164300930485,0.48121065600111057,0.005778337781166603,0.051031084987638184,0.0063384462344074615,0.0012532202453455852,0.014666867359663195,0.006777730755325797,0.0005410391093444606,0.6527798809748551,0.09769024485225476,0.22554121818090808,0.006719643462041009,0.11861533987058114,0.363636358677686,0.18234078390295394,0.6121671527593262,0.05521442217732575,0.21072246180056434,0.09057204034769087,0.5565731366498967,0.49229155101570343,0.3092369477911646,0.36164483778209056,0.1063565388320499,0.39583281871100073,0.050761431527276364,0.7760443578081212,0.452268633816884,0.5175078118525667,0.07848264176063582,0.23048715869481481,0.5510194997962915,0.13302323692868187,0.3689165902470367,0.22774923851752094,0.01699284241586967,0.1696501971724463,0.1911843437038407,0.02542254497413823,0.01699284241586967,0.8188764281694764,0.0361640931329046,0.0023546772197865938,0.10515717971522634,0.009021826800631736,0.2785875088103178,0.025549914922677722,0.0005608036383015807,0.1491045334972629,0.5460161127358168,0.2573317850522087,0.04773501246105962,0.10486696328456827,0.18573608998836405,0.0002833378970207238,0.7154804507587947,0.710639879901926,0.5665156242802454,0.644195077480114
000010.XSHE,3,0,0.03669351626280448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000011.XSHE,3,1,0.1807983197562543,0.8150192509123259,0.25353088126275736,0.607076530261481,0.7395676213281044,0.35640353512298845,0.6750798883030897,0.32052420826477146,0.9754889780583268,0.3086086399754281,0.27720079631104444,0.0011691513295844452,0.05064120343017849,0.006097604226581392,0.000567884130590277,0.0046219494137805985,0.004672726100368973,0.00020321918252193713,0.6437460987832402,0.08984596655809239,0.2268143639517636,0.005913118136136791,0.0062327708071547375,0.363636358677686,0.007280339657545746,0.5710739957017641,0.005069174017639206,0.09402118937336953,0.08667284300282325,0.35297125384723477,0.09655974972191017,0.8393574297188754,0.25262742547866057,0.9135858257009816,0.3008437990607569,0.041057310881409494,0.8295993834373118,0.3290818478469965,0.46167195581489434,0.04976281443527727,0.25631278479579167,0.5580171020546373,0.11967842159456799,0.3771775641138162,0.25060666902682915,0.01592705540914749,0.16741406569238104,0.18807410916936473,0.030673095197766394,0.01592705540914749,0.8343913492070326,0.043322705347077335,0.0015206163322140833,0.10569031222862349,0.007110521182863455,0.27988942416741,0.019515023396133674,0.0003786003505763856,0.14725828549715236,0.5896704267000892,0.2734780170705133,0.041750606492000436,0.0779635034129242,0.14093305679400714,0.0003219564738716712,0.9078281473969557,0.6949452452551377,0.7187193157270759,0.42919037874065064
