,month,label,return,beta,book_to_price_ratio,earnings_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size,administration_expense_ttm,EBIT,EBITDA,goods_sale_and_service_render_cash_ttm,interest_carry_current_liability,interest_free_current_liability,net_debt,net_working_capital,non_recurring_gain_loss,OperateNetIncome,retained_earnings,money_flow_20,PSY,TVMA6,VDEA,VEMA10,VOL10,WVAD,CCI10,CR20,fifty_two_week_close_rank,Price1M,Rank1M,ROC12,ROC120,single_day_VPT,single_day_VPT_12,Volume1M,capital_reserve_fund_per_share,cashflow_per_share_ttm,cash_and_equivalents_per_share,net_asset_per_share,net_operate_cash_flow_per_share,operating_profit_per_share,operating_revenue_per_share,retained_earnings_per_share,retained_profit_per_share,surplus_reserve_fund_per_share,total_operating_revenue_per_share,ACCA,accounts_payable_turnover_days,accounts_payable_turnover_rate,adjusted_profit_to_total_profit,admin_expense_rate,cash_to_current_liability,current_asset_turnover_rate,current_ratio,DEGM,gross_income_ratio,total_profit_to_cost_ratio,Kurtosis120,sharpe_ratio_120,Skewness120,Variance120,boll_down,EMA5,EMAC20,MFI14
000001.XSHE,6,1,-0.02411959625074387,0.2344946553261944,0.7813603782353585,1.0,0.572492642359706,0.35231870043518365,0.4870595590788311,0.5285220348560743,0.22672736365189555,0.2866942200862515,0.8657465473687619,0.0,0.1634310855940033,0.2446279028087244,0.02786793386577185,0.055771660806640894,0.24612122940060732,0.4338715903972996,0.5006815737940249,0.13070553013666983,0.6289089380025458,0.24058556964155675,0.6685399857194622,0.4995877222775588,0.6781300114079608,0.5063799821543453,0.022665748816632626,0.08795164214912807,0.46725384801056513,0.5884214895632066,0.29135249545560243,0.5306122448979592,0.47190091924123967,0.8859568618982758,0.5102849059100755,0.4959607363185405,0.41985282339933194,0.6243774125421137,0.10490984747401157,0.5812603178418276,1.0,1.0,0.9275989024303164,1.0,1.0,0.1832425130227592,0.8189801244437435,0.8132049127064072,0.591519045926062,0.18313219238897535,0.6606619138097714,0.05130923702433082,0.022477830635939486,0.9779265087389089,0.1249958086918682,0.4419574464434788,0.25581808450316,0.49230558405918823,0.5007630108666001,0.6677906131176456,0.495618700071757,0.14033902603875634,0.4540231050434818,0.534718862618702,0.16645121785250194,0.6740940410732351,0.5481451913511552,0.5121105565255941,0.4165694437280938
000002.XSHE,6,1,-0.02026113587054439,0.33293309227177215,0.6231379204485407,0.7246367908590143,0.5501665418641989,0.39006601934510665,0.43065082624495543,0.4703116538416986,0.03800658583246436,0.2519489450520862,0.9558177151683921,0.2766096304585113,0.4379462523182497,0.16649620236967905,0.41660520147223634,0.9680458792235187,1.0,0.09600434522694502,1.0,0.10068813768356812,0.5586592834077758,0.4081643596557413,0.7553989557124627,0.6246907879550772,0.8326199856889305,0.5202265251323404,0.020467620547362703,0.0710004567744146,0.46314426275257314,0.33608366250704436,0.5638802723414442,0.42040816326530617,0.515050707918078,0.3949100528221654,0.5327206544975436,0.3911813388497696,0.5247268426284146,0.7567700208932681,0.11017028122985495,0.17502896390792108,0.6534990080289586,0.3838130738755572,0.37174020919497425,0.47768192735806636,0.5192468989050926,0.07960438813499444,0.6341452533591438,0.547775708360314,1.0,0.07955646253952993,0.5264428481808056,0.17537815510521162,0.006576192332146317,0.9778328122129896,0.05918807214206591,0.4042592097358854,0.047177457743544066,0.45767082583425345,0.5205112997394687,0.6432101392625547,0.6171366824869376,0.23394986005381613,0.37894164628975346,0.4888208503173219,0.18647855851708275,0.6747060038804967,0.6605524147910602,0.4902673343444384,0.5225346409798493
000004.XSHE,6,1,-0.1447358093651362,0.32064453614268973,0.07201809407578207,0.41922242167357743,0.5705035134883012,0.08477354989186842,0.5943435360635272,0.6315990211780601,0.0,0.7052053354914635,0.015194516286715068,0.002810508571773023,0.13817349761934053,0.05310531435121598,0.00042773669645091534,8.516511101306134e-05,0.00337867080197738,0.00459110681903879,0.4822990872107509,0.13306623671525583,0.4613601811614273,0.06120948464878515,0.18700059255353849,0.4995877222775588,0.12622604718168634,0.560736834363063,0.035219483083329554,1.0,0.47122271898676116,0.10084694061581237,0.25571032647593545,0.563265306122449,0.16507120529380678,0.7742693349058171,0.040686101627788206,0.45024576542768247,0.464145161847052,0.37125609502543544,0.10710729789058318,0.06885940236912655,0.49873230347102104,0.1385597273868264,0.0768862126766069,0.5479421715960955,0.40865099214066647,0.034289793055653536,0.32292031603172155,0.31866764814926796,0.14073212300433977,0.034269148983272,0.7423715083884854,0.033441002735102095,0.034488206322583856,0.9768834775545301,0.23042636107551515,0.4219159990042077,0.20673764067702452,0.46489190748126696,0.4913228044261979,0.6111189384007046,0.5377126475384718,0.27412231386241115,0.41470114214566095,0.5103640705610599,0.3828963547326678,0.5366766005673888,0.7245889835206207,0.8091176285594406,0.28296267420279186
000005.XSHE,6,1,-0.05442262655377416,0.1402471539826589,0.23462238878126218,0.4226641655400564,0.25398118185554514,0.1470630957178598,0.2531593941440393,0.46373203485310355,0.8931024660162217,0.316791106463783,0.27564493787150096,0.0039022452930030224,0.1634310855940033,0.052789049756150355,0.000551663346646724,0.004762345468990901,0.011854311739539897,0.004949705742779612,0.4727818262442063,0.13070553013666983,0.4608668626222029,0.05599076176034258,0.0,0.0,0.0,0.503398650003267,1.0406007464811245e-05,0.0,0.4588180206519351,0.0,0.11091045993759996,0.6653061224489796,0.3803900333049294,0.7587185641673034,0.17934118052358897,0.35515382892407715,0.49113386148404414,0.39877971894525477,0.11166171788016575,0.10709381753096311,0.46998190795507766,0.07335045377797558,0.06633822861863387,0.524608812946274,0.3806981417121241,0.001199243324454533,0.2862395856249578,0.27318121832383646,0.17506241034852402,0.0011985213234219536,0.6452806445197321,0.11549989302664049,0.009985465370895194,0.9782497569186255,0.33255640858451246,0.3959779488676285,0.11474542488525839,0.43377361526400005,0.5573585706345243,0.64993859885583,0.41201177519229526,0.42957512155322314,0.4317464635225286,0.9639273417454147,0.1980627574223017,1.0,0.9503595659978474,0.9035673162732265,0.3705558901789182
000006.XSHE,6,1,-0.1184226265537742,0.6108950167339054,0.5408746443726451,1.0,0.46117840230617946,0.315696213987324,0.5020578071189628,0.5085966917985609,0.9966054623505463,0.3765945384484291,0.37896851649351665,0.008770434307405513,0.1552560987165397,0.05960087935239507,0.01346188902107709,0.0759549419495697,0.0455733774944241,0.007382480226998295,0.5535799452808505,0.13290794546391008,0.4654084452138246,0.07656119901720324,0.10476670568480281,0.37448465660004054,0.17145985821722332,0.5104367063874848,0.01928890080066887,0.1656214177594955,0.4646096921544597,0.4813012388536147,0.5702264309018372,0.38367346938775515,0.623996627727016,0.18614518620643833,0.5940535564355256,0.45041140806863283,0.4426339347010033,0.6231705556855646,0.11351608358825804,0.15327012108205634,0.46352831012129536,0.1762498498818434,0.22660579299405226,0.5928666779443956,0.4504618983625021,0.05549432591422996,0.4837142544855976,0.44136981801227904,0.5721116330610543,0.05546091571315121,0.6903768005338939,0.04227540246852387,0.027281116955865183,0.9778613027403296,0.0360709495932901,0.40552310950057263,0.06293363161155292,0.4651078078052042,0.4994660675069724,0.638355282112371,0.6367636198377019,0.1900123740456756,0.4678055887189135,0.5699111840033958,0.3701137904234606,0.5101197990029295,0.5618130271347423,0.4078236919036799,0.4509311441805731
000007.XSHE,6,0,-0.09172280417366759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.XSHE,6,0,-0.08938766151880916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000009.XSHE,6,1,-0.05736668936044731,0.753548398524821,0.16039256106856364,0.331148847472123,0.5625377536822506,0.29629057494442196,0.688324151950005,0.7289815016035328,0.7576978396813738,0.6828765530409059,0.6265739451102762,0.041400977856120305,0.1709326240215244,0.059202533970084265,0.009614213866698475,0.04576706662394202,0.04460314856148893,0.007598083214051053,0.5714275207530157,0.22158422649400927,0.46563576849186533,0.07594197427002262,0.5667980401501233,0.7497938686449639,0.5875320700830855,0.40519002143515204,0.18323381714408674,0.2110561523294242,0.5227614841354494,0.5507638645460134,0.42720859633121494,0.3306122448979592,0.5782315839692834,0.3166827929304674,0.5403239453736421,0.4604860279824983,0.6359137928292424,0.6164511138532728,0.11481278210993583,0.12603433890729693,0.3340570695574067,0.20097423081789906,0.2145448452169578,0.4686225714237109,0.5281864402505878,0.06639129650662932,0.46512091212742135,0.4828629026957256,0.09976908662518134,0.06635132581539878,0.4362142852232104,0.1137037108471709,0.010143209324554968,0.9776314148887852,0.15803823851773613,0.40924230873731476,0.07530113143393914,0.47439232104529305,0.5020776062473935,0.5984260497186116,0.5308588064167864,0.13983872522933363,0.4408624027314153,0.5309382196321805,0.8188904693219626,0.6035156552305955,0.3804046847479211,0.40644883185909847,0.4932727126821346
000010.XSHE,6,0,-0.05442262655377416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000011.XSHE,6,1,-0.1483001775741823,0.7875404987728754,0.18721703201539874,0.413805467064788,0.7679735755398133,0.6871461825668203,1.0,0.7431641863856246,0.9961740688228287,0.7137554113419832,0.42826993408142944,0.012724878825216161,0.20011230865180343,0.07666116927491327,0.0037692079324113865,0.032510136918255245,0.018735502441251217,0.005427297078095095,0.5007556850101427,0.13070553013666983,0.48327732307726967,0.0682810084041571,0.4475240182574383,0.6246907879550772,0.4465870473541151,0.45614547151340945,0.2466571074699631,1.0,0.5568747825884922,0.5135253627772095,0.5002700512457078,0.036734693877551024,0.7523476634298721,0.0372288296069898,0.662597912056941,1.0,0.5136550565858751,0.6188843123362032,0.11873169319767306,0.08219884452270765,0.4458562910981153,0.16529573155168084,0.1740813930626052,0.3676502480410102,0.9447231325484908,0.18007561011549775,0.44871038298988175,0.46124776788636856,0.1247259535727517,0.17996719610660183,0.0,0.06368321848778774,0.018110270300213595,0.9778864669926506,0.07491229925623186,0.4070470786066764,0.14487870435280087,0.45930777111602505,0.5080435278640048,0.7451199065744544,0.7630015162879713,0.1519773562667646,1.0,0.5368347513921972,0.7998381961600056,0.1986108611846541,0.2858453257931297,0.20645998452155162,0.5935444973974608
