,month,label,return,beta,book_to_price_ratio,earnings_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size,administration_expense_ttm,EBIT,EBITDA,goods_sale_and_service_render_cash_ttm,interest_carry_current_liability,interest_free_current_liability,net_debt,net_working_capital,non_recurring_gain_loss,OperateNetIncome,retained_earnings,money_flow_20,PSY,TVMA6,VDEA,VEMA10,VOL10,WVAD,CCI10,CR20,fifty_two_week_close_rank,Price1M,Rank1M,ROC12,ROC120,single_day_VPT,single_day_VPT_12,Volume1M,capital_reserve_fund_per_share,cashflow_per_share_ttm,cash_and_equivalents_per_share,net_asset_per_share,net_operate_cash_flow_per_share,operating_profit_per_share,operating_revenue_per_share,retained_earnings_per_share,retained_profit_per_share,surplus_reserve_fund_per_share,total_operating_revenue_per_share,ACCA,accounts_payable_turnover_days,accounts_payable_turnover_rate,adjusted_profit_to_total_profit,admin_expense_rate,cash_to_current_liability,current_asset_turnover_rate,current_ratio,DEGM,gross_income_ratio,total_profit_to_cost_ratio,Kurtosis120,sharpe_ratio_120,Skewness120,Variance120,boll_down,EMA5,EMAC20,MFI14
000001.XSHE,5,1,0.01597363630978028,0.38991653721177527,0.812753873012849,1.0,0.6046345620379276,0.26810309641627417,0.5031090548834404,0.6069190645451603,0.19871392166049096,0.28746828866535434,0.85460900716112,0.0,0.03898063524608643,0.055395769246629006,0.003256901125046769,0.009577925584784994,0.15979848071960145,0.08219899384142214,0.5653226717920122,0.05802294798816044,0.18149441434202088,0.0346655946100589,0.06351103980554612,0.5000000059999999,0.0595583735785636,0.4344507684612983,0.0031996038493164874,0.019855042874642712,0.6967315135434587,0.35617147963722473,0.06582675844738758,0.827309236947791,0.1956880111663198,0.6893117475337958,0.20647702781881624,0.2367451364157769,0.10510839989782603,0.4011014320883426,0.27600496163917854,0.5369132292441128,0.7105012746097016,1.0,0.5596147920916827,1.0,0.33212184833390224,0.05445574685839919,0.2640317560120992,0.2727556247244244,0.1715812118168285,0.05445574685839919,0.6752213590590493,0.010546980899806848,0.00039409309223263953,0.08741823212789349,0.016071763769783136,0.04540468742505656,0.08456443240747506,0.04924233101988007,0.2876773460270384,0.7100452705027782,0.2400711583719474,0.05755180427287034,0.21057298559824314,0.24356155503307597,0.0025165738887518293,0.9016443028042136,0.6542043908986037,0.7295767624234046,0.20994778237770306
000002.XSHE,5,1,0.0423823221169624,0.5236026564941526,0.45189115505903266,0.6039125362189639,0.5833797106354399,0.27268189331782156,0.4951078014321437,0.6813178207834628,0.12974138237006122,0.3398456968429458,0.8948127602046856,0.03322039401778534,0.07254913762913676,0.035489147678281305,0.03351553005224214,0.10458555688549288,0.4728786208032891,0.015044111229008901,0.8837983873856174,0.0720031117680627,0.15570996320068495,0.050561971020979056,0.11342315533111264,0.5000000059999999,0.13243280673173344,0.4351883460996612,0.004017680022626941,0.021284197631686402,0.6983172933555094,0.6264219760510313,0.28458522794599656,0.008032128514056224,0.2666191236298092,0.2964087247395154,0.255386011381319,0.38256645648902793,0.1737308984028381,0.4410997871659072,0.29320990490191573,0.08192521248157542,0.2946818329425655,0.1690417673041864,0.18892980782208404,0.202952481190699,0.18652937021944843,0.026928048069166106,0.219493341827101,0.1965770710075281,0.3860720494124995,0.026928048069166106,0.5683316382635928,0.004516221763263973,0.000920346776599817,0.08693137094331121,0.0056967813952492315,0.030425559253796943,0.016435736612969314,0.03711212186725041,0.28620058351743655,0.6872181313562821,0.2670759474266568,0.0232045308361934,0.4246199575692,0.18858669717917498,0.0047859770247133645,0.8463169399865276,0.5699056015154036,0.6285566762357209,0.41689948549593264
000004.XSHE,5,1,0.0726858175851682,0.7132139726942307,0.07060316380110365,0.38994729967908537,0.2711700310287747,0.05229989012516523,0.3640049449157722,0.4647315715592759,0.023659884009824383,0.24720513912005426,0.0,0.00023091914604575172,0.03600166782264099,0.018581872619520847,1.9280445714274833e-05,1.3104380450022238e-05,0.000513398771795875,0.000772246579863951,0.562387219599456,0.0445935712696572,0.13373639781399557,0.004988652650566003,0.0021748539412344814,0.39999999760000005,0.0027653133976327333,0.4358784351104673,0.0012173091739389257,0.05563495304205799,0.6965303922582073,0.20374284459815695,0.16895050101487005,0.9076305220883533,0.19240115090944215,0.5975769458842247,0.20893545846376346,0.15494843639339045,0.09033957081008802,0.41481680288684786,0.2801534432857077,0.03215597944920336,0.2711915660532241,0.060148685728661784,0.03966253640736455,0.19599379512159168,0.15034839298788438,0.0045310203255332256,0.10340197230536982,0.11347616780691172,0.04059337594269874,0.0045310203255332256,0.5471586762324993,0.0024640587228705463,0.0016868469294904118,0.0831914537433406,0.05016047962751951,0.03667490525691873,0.03536350396803413,0.03969950216148237,0.29647361519990645,0.7766635542972675,0.2529995880674698,0.04200857167301178,0.11382906368298965,0.19917911667448251,0.009698785570792855,0.9374484009217332,0.7289960005206955,0.7629949006723344,0.633612992729469
000005.XSHE,5,1,-0.0933227005214821,0.0,0.1538932706934713,0.37901646303254266,0.29806119419469324,0.1029577668050505,0.1749581097752819,0.6639632151924872,0.9476118730212815,0.5208257043254327,0.26231769983540554,0.0005148498912227598,0.03898063524608643,0.018520648912869572,2.434050700896723e-05,0.00012552116773590843,0.0017919213511167899,0.000814017285729295,0.5608300428201725,0.04435659516531199,0.13358147334544523,0.004464586807370271,0.008982675606507043,0.5000000059999999,0.00965416929065952,0.435546970939748,0.007472099040179767,0.03695385871784402,0.6975803341930085,0.26800694903731126,0.03021231404403695,0.9999999999999998,0.1498273781080292,0.9870186111575555,0.17514280684253683,0.22741472717346276,0.08573368997468271,0.411200321141083,0.2530252216658244,0.05001069537609563,0.2688865545716228,0.03807085021826781,0.03270040773887567,0.19686309520110787,0.14438636774930896,0.00026420069380799296,0.09152274036163588,0.09919821838318928,0.05048048406165415,0.00026420069380799296,0.5930770335427088,0.004302254845392691,0.0009661186297744996,0.08871976357814995,0.10483366244223492,0.02867296513569083,0.020537714665880093,0.03111015153176321,0.2679763564443672,0.49690406791325825,0.21702796128270127,0.3249443106047064,0.12958845520003698,0.44177187006566976,0.0023427312321809826,0.9073342655871228,0.7427585185318191,0.8195861843745655,0.5366712817721492
000006.XSHE,5,1,-0.02761842655414639,0.6279428810447266,0.40486030198747336,0.6976347473615552,0.5897043548410865,0.15792245368833263,0.47822905478262656,0.7849353670541811,0.9967404382639806,0.5312735893330937,0.3764872681242314,0.000991276003164969,0.03805401799879722,0.019596331391200365,0.0009282931870914918,0.007497787317455424,0.00905772241938833,0.0011119107094299426,0.5699524969855809,0.04543533676076573,0.13508041275414798,0.006734770087660719,0.018280116943060226,0.5000000059999999,0.023955306089316997,0.43165163593087186,0.003826034793982297,0.05344017966516946,0.6975781705570673,0.5121248782589924,0.135136769659127,0.08032128514056225,0.21047960853973646,0.7247945565401794,0.2085205854060842,0.3426658543526346,0.08214646672859177,0.41577990835899103,0.27228373225524877,0.07130205116725147,0.24676148814364654,0.05608475309225268,0.11516359333260126,0.20165447710968118,0.17270566939761736,0.013166226562291909,0.15481810384037203,0.14788839983329735,0.21234801848391655,0.013166226562291909,0.5717329252051296,0.0030437757268959387,0.0013655702967262165,0.08686370918354229,0.0049006739519747875,0.02956364056352772,0.022599839691520966,0.03719200188582239,0.2923050084196634,0.7573659706894131,0.28780879501380013,0.04414158680516866,0.323381842296659,0.23384187344277935,0.01258240570876329,0.8455045056497794,0.6581859151894931,0.691368212940509,0.4084217107745884
000007.XSHE,5,1,0.1039123700854993,0.5062283094197951,0.04367104588297782,0.3403187471178282,0.22415512036048285,0.07521370699630889,0.6626869728017031,0.7975414059355338,0.9724221644874143,0.8177688903048916,0.286427759469568,0.0006123748149035361,0.03600533156548645,0.01858429797699064,6.618312152211724e-05,0.0002892516944952598,0.0005812177776442272,0.0007754971341994741,0.5624700600376805,0.04433193689991862,0.13372716506837137,0.004599659488900581,0.038477033612145405,0.6999999988000001,0.05291459551618059,0.44308508656510487,0.011430665324363688,0.31043282972641895,0.6964512755450356,0.517948571105783,0.5788165113949166,0.012048192771084336,0.41676022768370036,0.002596277768488864,0.3879737412407097,0.6587453992794197,0.09101388804602888,0.4486643827172069,0.3209169844259659,0.1255010794585894,0.28398100262500175,0.05073850084051012,0.05127213356221115,0.17956039171428675,0.1476792505949402,0.0052295341685852995,0.06038203309877897,0.07002871034442795,0.011694274949037211,0.0052295341685852995,0.2266213161741128,0.003936613369841792,0.0010558539328421586,0.08720926606706109,0.04693643186464211,0.038734302427401376,0.07569553516929463,0.03778588133077092,0.28751086893148226,0.8906196902567116,0.22281136323513068,0.02422300069275994,0.7073615268296043,0.19260985258374827,0.016153918746208966,0.4939790725097646,0.6506403206765454,0.5061750188108038,0.6271309177584616
000008.XSHE,5,0,-0.03331127450493931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000009.XSHE,5,1,-0.1117925185080463,0.9121407982931329,0.176577064875435,0.31869810264005244,0.6125269549957751,0.20601823692060056,0.6703118548180794,0.4325638186849225,0.8879357617445377,0.46882043750074365,0.5007427375774116,0.005820194789340224,0.03838528174083787,0.019379581818894067,0.001177206954750822,0.01112278239061919,0.0073409092686719645,0.0012366303517828076,0.5766112772593566,0.05358029421965778,0.13435002536643031,0.006662238706589125,0.051629147574552316,0.3000000012,0.053115762681958285,0.3955804216996539,0.03261936030567369,0.06124948958758677,0.6971818436714,0.1919224939111836,0.15364014204644003,0.9638554216867469,0.15942652059044388,0.6750322198071069,0.17262485249182058,0.10793484344321083,0.09724102382741143,0.40344480191106064,0.27667570175035605,0.05245467744966252,0.26060024953146876,0.08080106964166522,0.09707257142623177,0.19117380794789257,0.16603992066191167,0.019339375729284524,0.14859580965182337,0.16432608350569688,0.030159509561575225,0.019339375729284524,0.5388433263760064,0.0025080984511665384,0.0016572276159654803,0.08496326582865246,0.018654005566149108,0.031362236244839026,0.030152293055079334,0.0393355108599583,0.2875758162022021,0.6737388203941311,0.23147811127118606,0.036537447466073056,0.11658989565871976,0.18688135602014425,0.01827394124663096,0.9115937010037072,0.7115661709586631,0.778412037149407,0.2627997130605236
000010.XSHE,5,0,0.1115659560779243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000011.XSHE,5,1,-0.1660081829666029,0.8571570224197256,0.18780436163455427,0.43558561120927886,0.7259209902979401,0.39990561919914436,0.9118515836374199,0.6369046480954774,0.9977581917174213,0.6597125918620684,0.3333291497380473,0.0012328599873146176,0.036076860959327585,0.018607255952084453,0.00034619272458746213,0.0033111056154872726,0.004647087786189012,0.0009100264970555841,0.5643074748703386,0.04435659516531199,0.13377621370654408,0.0056467933967849155,0.019416024173087024,0.6999999988000001,0.02791057032888316,0.41528217812327084,0.03004561685810073,0.3097692935892201,0.7047317308429916,0.5130498192967239,0.1411425291114183,0.5622489959839356,0.249490558446708,0.5352662794404918,0.25405268435627665,0.28825202846293485,0.09148485969671918,0.42495893418871555,0.28130197087334036,0.038385235193466254,0.26353699647526313,0.06621492382444442,0.07686164967241348,0.2190699946196389,0.14934849885403603,0.005783478312445323,0.13670674763023485,0.15055602396187812,0.03598360597037604,0.005783478312445323,0.7048021292961165,0.006820554322285323,0.0006094069177626295,0.08786112678657645,0.029777916182967303,0.030583334200490295,0.01249733609431249,0.036124295460900076,0.2805520953283898,0.646477894851941,0.19858943985167526,0.03408541183353911,0.2400540903083638,0.19782026116212553,0.019361747613155973,0.8335459398009537,0.6055642587497032,0.656447416906996,0.5622432768413056
