,month,label,return,beta,book_to_price_ratio,earnings_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size,administration_expense_ttm,EBIT,EBITDA,goods_sale_and_service_render_cash_ttm,interest_carry_current_liability,interest_free_current_liability,net_debt,net_working_capital,non_recurring_gain_loss,OperateNetIncome,retained_earnings,money_flow_20,PSY,TVMA6,VDEA,VEMA10,VOL10,WVAD,CCI10,CR20,fifty_two_week_close_rank,Price1M,Rank1M,ROC12,ROC120,single_day_VPT,single_day_VPT_12,Volume1M,capital_reserve_fund_per_share,cashflow_per_share_ttm,cash_and_equivalents_per_share,net_asset_per_share,net_operate_cash_flow_per_share,operating_profit_per_share,operating_revenue_per_share,retained_earnings_per_share,retained_profit_per_share,surplus_reserve_fund_per_share,total_operating_revenue_per_share,ACCA,accounts_payable_turnover_days,accounts_payable_turnover_rate,adjusted_profit_to_total_profit,admin_expense_rate,cash_to_current_liability,current_asset_turnover_rate,current_ratio,DEGM,gross_income_ratio,total_profit_to_cost_ratio,Kurtosis120,sharpe_ratio_120,Skewness120,Variance120,boll_down,EMA5,EMAC20,MFI14
000001.XSHE,5,1,-0.01451626604314032,0.7752812015579916,0.34221560664625367,0.9922451428986618,0.6609766493312593,0.2296105379686449,0.37433613080164807,0.3157209826024674,0.4662166134939861,0.3634897499819545,0.7509807370580884,0.0,0.11086285210320684,0.03545597248153827,0.004380779346399993,0.01188590007932706,0.01969840724577271,0.05000497946525878,0.6464177255900285,0.04183960428230087,0.15660353490876194,0.011663157296453846,0.17561127732685172,0.6000000024,0.16571056470878606,0.5165038136324566,0.00235140375812414,0.04092591627131015,0.507522014118886,0.7489607264511391,0.2821813481212102,0.04878048780487805,0.2555666975620095,0.41126943005181343,0.19249691832769295,0.21815295225306325,0.04199085388064348,0.18373419782548414,0.0005862321122171808,0.25498430830486224,0.5196796562722293,0.4936802798532947,0.28730588439141136,0.5961708339220125,0.467405161305433,0.040985706909820854,0.29396609514862604,0.29858899868441097,0.09553323668238005,0.040985706909820854,0.3819688458483644,0.0003644535332874073,0.20263698059518923,0.8458664876686285,0.08413615303390501,0.04716686551377214,0.12022400567599585,0.04442693645547781,0.9723361253774703,0.08880947371700185,0.39502403669702835,0.033687381885053554,0.22525910760844972,0.2108437373735525,0.045831216963627,0.8368597375433539,0.6428905753736078,0.6156038459972528,0.7475280812493061
000002.XSHE,5,1,0.02222863022887711,0.7185661448569899,0.3327441570381722,0.4796151096463885,0.6063943881657694,0.17929086389420912,0.5858246569453466,0.1835292943592447,0.2373525687172694,0.43025064215290565,0.8611639722774459,0.028388752758747075,0.15473455684750043,0.034292590782386036,0.028471054322710177,0.18327921105675804,0.2418310419504781,0.008521984356956745,1.0,0.08937981469779487,0.14457490840596707,0.03228190645735884,0.6340531268239799,0.5000000059999999,0.5457747955439795,0.5173527306599122,0.005425572712429901,0.08774307908868151,0.5071495092624139,0.49143677758110266,0.2829302673319615,0.0934959349593496,0.24956108578677155,0.13536269430051812,0.13293531353324406,0.1452394504405033,0.11083163938226259,0.13986488847962297,0.0007649702634377833,0.10657025619626356,0.5353170986853878,0.12428805020886352,0.15520467442699112,0.5722872358117764,0.31581225728268053,0.025122717775478916,0.31635154757169076,0.29591749925608135,0.2274272154495637,0.025122717775478916,0.41678268277264385,0.002276905761077068,0.0718932301765637,0.8450323283059857,0.0526073469506131,0.037352252279581874,0.04931544206625435,0.04436863462973055,0.9732327874879132,0.11450063404343211,0.4113798341639247,0.0270974778225482,0.11416534094913486,0.19777363076087326,0.03647564318214549,0.7748719327373602,0.694616250431837,0.6305074067804242,0.6785392344737038
000004.XSHE,5,0,-0.03272889663876214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000005.XSHE,5,1,0.09978156228527331,0.726721336532397,0.22239323711120598,0.3084438528145129,0.6322498634158955,0.09793347463970409,0.5813958551027517,0.18656692536076605,0.9798795301567411,0.44287857234491956,0.30737637977308946,0.00091198165648649,0.11086285210320684,0.02200898833114481,6.447779711444719e-05,0.001295082199582399,0.003591697926295932,0.0026892835544300013,0.6423696572167431,0.04531074046667569,0.12047815309291772,0.005493251061237236,0.047036225688879815,0.39999999760000005,0.03520528706757203,0.5179832409282926,0.009743992402803086,0.1778322298107502,0.5073443423745712,0.6419185707225423,0.2560627768160531,0.06910569105691058,0.23927072228671933,0.23963730569948188,0.13916996882581986,0.1937947727382558,0.023010571894114124,0.15374885451623807,0.0006627097893700285,0.06982256648323466,0.4891472481749539,0.030941302487873856,0.0428682767812647,0.5571523648519732,0.2685272790341097,0.0003708022769494777,0.2011446980626446,0.20818022901205277,0.06212749111753425,0.0003708022769494777,0.3662530910112582,0.002850689537648567,0.07015693789857165,0.8310005207047151,0.30977236996496793,0.022019681423565373,0.04944154720941425,0.009107829703033157,0.9729654345264245,0.13217035245616118,0.39835129238645883,0.035439593271944264,0.15021369961373407,0.2033896119905859,0.05015954310627239,0.8157219921180286,0.7428537996054967,0.6562366741166614,0.6388410419908319
000006.XSHE,5,1,0.02284911286374826,0.8801528241965398,0.3361687676933373,0.01650503986774443,0.40282910513431125,0.20677589533476953,0.5051069878656086,0.39925415084654914,0.9985918339213866,0.5430996576550394,0.3838980323404025,0.0012618435859857494,0.10958526098003663,0.0224341666231959,0.00036679795639222256,0.0234271078757379,0.004221125611356798,0.003061318257242021,0.6639132195703784,0.05370746808103223,0.12130176926842708,0.007430629728515234,0.04768616742993923,0.5000000059999999,0.03298103170233054,0.5161555267377651,0.00219710264215006,0.08633543610864917,0.5063682942241416,0.40769277888148553,0.3298500816141032,0.04878048780487805,0.22608431581577942,0.08354922279792745,0.18078903517031636,0.30437623203143566,0.0303085683772883,0.16510135409734852,0.0007606650684557443,0.14651261855705955,0.4671651314936882,0.08026842066651599,0.18190389624023015,0.5466807685493403,0.32832119671020993,0.012841577046804017,0.32180533710119363,0.2929705828710325,0.2711777283378772,0.012841577046804017,0.32695649981359376,0.003676087280428253,0.06867907812922684,0.8437010854480809,0.10803333305136871,0.030610900800068973,0.032448519553189815,0.04804305040447382,0.9737453869059343,0.1365101310374697,0.3586788657590787,0.028368754408629827,0.27768357369215346,0.17915550737736693,0.06219317156589314,0.7422273363781929,0.737655043295109,0.6348231179834873,0.8437795876710422
000007.XSHE,5,0,0.1719754351480959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.XSHE,5,0,0.06733352533377206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000009.XSHE,5,1,0.06207036743903528,0.8563915585167261,0.20686294750536718,0.48482765240027237,0.6420145217054039,0.13204360751438066,0.6975523721213377,0.5785449099048077,0.9427261798825934,0.7460023243271696,0.4757195696064777,0.004164908682641913,0.11225593976883208,0.02301056799566667,0.0020415939357169063,0.008138001674516414,0.00932813164916384,0.0028726564367426524,0.6567675165069002,0.07756584267987796,0.12221858692228517,0.007242923805849668,0.10093646861150692,0.6000000024,0.1233174732823315,0.5207285363444496,0.02656068634774673,0.19983316823940356,0.5095808480108299,0.44410763475349363,0.16396586823426834,0.06097560975609757,0.16035631925749952,0.608160621761658,0.13761135470597477,0.29647373206303473,0.021964981565101176,0.16690343230585714,0.0004873093735849392,0.07778055968494901,0.4928593744846434,0.07013687690813135,0.0997931383733106,0.5750286517775233,0.32286930688191556,0.028383712156114328,0.26702992694442307,0.28244662163334117,0.034767748974983206,0.028383712156114328,0.4624008760191557,0.00118327434924766,0.0811108401906092,0.8416133802225405,0.07142485985351535,0.03627359878826779,0.0715586751527916,0.04250411351720271,0.9732466581982046,0.11167431955551457,0.4011089844089607,0.02878849067978671,0.2600724629013506,0.16533102710452863,0.07316432370762316,0.9213989021961985,0.8182998450960071,0.7307309066207814,0.37229350160172336
000010.XSHE,5,0,-0.01828879226279442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000011.XSHE,5,0,0.1385055480180821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
