,month,label,return,beta,book_to_price_ratio,earnings_yield,growth,leverage,liquidity,momentum,non_linear_size,residual_volatility,size,administration_expense_ttm,EBIT,EBITDA,goods_sale_and_service_render_cash_ttm,interest_carry_current_liability,interest_free_current_liability,net_debt,net_working_capital,non_recurring_gain_loss,OperateNetIncome,retained_earnings,money_flow_20,PSY,TVMA6,VDEA,VEMA10,VOL10,WVAD,CCI10,CR20,fifty_two_week_close_rank,Price1M,Rank1M,ROC12,ROC120,single_day_VPT,single_day_VPT_12,Volume1M,capital_reserve_fund_per_share,cashflow_per_share_ttm,cash_and_equivalents_per_share,net_asset_per_share,net_operate_cash_flow_per_share,operating_profit_per_share,operating_revenue_per_share,retained_earnings_per_share,retained_profit_per_share,surplus_reserve_fund_per_share,total_operating_revenue_per_share,ACCA,accounts_payable_turnover_days,accounts_payable_turnover_rate,adjusted_profit_to_total_profit,admin_expense_rate,cash_to_current_liability,current_asset_turnover_rate,current_ratio,DEGM,gross_income_ratio,total_profit_to_cost_ratio,Kurtosis120,sharpe_ratio_120,Skewness120,Variance120,boll_down,EMA5,EMAC20,MFI14
000001.XSHE,10,1,-0.1115034147536065,0.6316683078635791,0.33102125335544025,0.8551795121506094,0.6618317922423143,0.20030318846115608,0.4035076472171243,0.3796308996272068,0.4123343149708132,0.2900999236606392,0.775385157421363,0.0018888165866960168,0.04974949789608139,0.030464196689990012,0.004597027851896353,0.011101503838798227,0.014809165835029791,0.047706738193358904,0.6414640449241649,0.07355088920022754,0.1802621740760343,0.013840808140592669,0.2131928222650524,0.5833333300000001,0.1554493039346499,0.6726019314808431,0.003840808584590604,0.03294939198137817,0.9399992109725486,0.3382542889478701,0.27373025840982057,0.20987654320987656,0.2314494604259241,0.17647070967741935,0.1427320895532344,0.0449406243676964,0.2543990040842282,0.130314320625022,0.5160570737507495,0.21586601821214893,0.8428646087683446,0.40752357934633104,0.32236282685736317,0.2875009615712544,0.7501411207847569,0.02453158546883749,0.3243350392208081,0.34586645590290144,0.12114639530480514,0.02453158546883749,0.22907375859852766,0.38069877584766465,0.03690571748781069,0.48082766949247874,0.042664500572514905,0.37092934905518454,0.100223797855131,0.062314848374031735,0.9225581678692302,0.6812634841309281,0.30316788342810985,0.038220436386480865,0.1344394468125915,0.1494053297302577,0.00023494402164278222,0.7648231403547375,0.8364272038624829,0.8081331480007616,0.6233628297079015
000002.XSHE,10,1,-0.1576647928736279,0.7225261997661314,0.3332815003629892,0.5897281820299172,0.606864601364402,0.1720053545221704,0.5846107067197066,0.34053392651989395,0.18230022811182925,0.26545201068521,0.8892758218717354,0.031057562604555985,0.06950896678260164,0.037768826972798805,0.035433595003151644,0.07825733885178765,0.2548102454478807,0.008244251716715171,1.0,0.14907698338282088,0.18331982021524731,0.03544431269314911,0.6148626935169619,0.66666667,0.5221407359380019,0.6729793899315827,0.008831517265177334,0.06320985672432475,0.9396686053576688,0.3154590707453518,0.22480096463750487,0.205761316872428,0.26225040256662263,0.22201187096774194,0.21338259834079837,0.05087586785961674,0.2435221019167763,0.49452312986932806,0.5195225561235378,0.10234987787013888,0.7102757836534759,0.23083434130721167,0.19908557840087462,0.2674024509763682,0.6843359761829928,0.014367178697241799,0.32910147327538064,0.3282185923581632,0.2884021132616515,0.014367178697241799,0.2382763933754501,0.38858356406259503,0.03098350614686283,0.4778590209834871,0.02495776454123074,0.368253465276815,0.04447468371823479,0.06999714866583973,0.9227425465984322,0.7638422780238614,0.3227674044696447,0.038141477775645416,0.1470265053097599,0.11517499877907829,0.000276412001570235,0.6864029398338957,0.8502122700407897,0.7907722315013057,0.6589417515360634
000004.XSHE,10,0,-0.07061122144505634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000005.XSHE,10,1,-0.1134683643021991,0.7570434437217272,0.2099733351683979,0.3036180964394036,0.6331276427729197,0.07238545135002389,0.5561821539700804,0.4019858854423108,0.9758749556939468,0.30759777937196214,0.2962797845313084,0.0027918316830261294,0.04974949789608139,0.01923376383973693,6.352498423246424e-05,0.0011825824694286066,0.0020219971089376707,0.0003713922918339563,0.6373653800943543,0.07206674247891517,0.1686496086976545,0.005317331971838153,0.052909374471509306,0.5833333300000001,0.07269505537658935,0.6873710247933622,0.02339087703874054,0.17004454789902473,0.9426894795880629,0.3741183554524764,0.16888112682485612,0.1522633744855967,0.26340479452558413,0.5066415483870967,0.2220990993249884,0.043501701173357735,0.2770293287441551,0.13146265568533552,0.5035874348316548,0.06761962524766553,0.6861963256443051,0.2225357891431213,0.08789399813035739,0.25426998991333966,0.669994271541478,0.00018719650643856116,0.22115734902104298,0.24150833353143186,0.07878432532589728,0.00018719650643856116,0.21012121433242306,0.39538249611946924,0.028852349274014515,0.48307743779814544,0.16908358620497738,0.3593487263203857,0.040078916048870455,0.01012833397914194,0.9223216200795693,0.8225584876572524,0.2983516172073853,0.03626992794925199,0.12182056458219212,0.11906615767796969,0.00031519799520547144,0.7065092099689007,0.7906545686617283,0.7640708897084374,0.7521088563872487
000006.XSHE,10,1,-0.1971319027102633,0.7840561587848089,0.3954694688913783,0.3787558045406666,0.40170827847192925,0.2025874817406739,0.42801742450666236,0.36883279407282354,0.9994759261864831,0.3086157653241394,0.35222301117841015,0.003224466003894,0.04816015125040554,0.019651116000604093,0.0008867313954547999,0.02088801078263413,0.004931650276724023,0.0007850701529957329,0.6571747525944457,0.0829684822770832,0.16898447746687437,0.007288569210124514,0.03912687369083774,0.66666667,0.04064417802143735,0.6772740697900029,0.004039600682491126,0.08403900951157843,0.9403155164971397,0.4739941314752259,0.2709396515236756,0.28395061728395066,0.31382794903028627,0.18722374193548386,0.24311926336693007,0.03909102152965051,0.232461535572954,0.13507227644358552,0.4969156190611693,0.14149294133264317,0.7228744517274973,0.27814815653837843,0.2204325038649089,0.31074970230430976,0.6879289810521826,0.011529801669528975,0.3253463854802536,0.3166696103129649,0.34388245825171243,0.011529801669528975,0.28170755323299024,0.38969912579595833,0.030413019208520436,0.47700694466116017,0.04362659100422413,0.383239355195864,0.030219342444776837,0.06685813725953044,0.9239354114427956,0.8438147782092155,0.2838696733015251,0.032379449181220814,0.09213180927101691,0.09692352146380374,0.00031239129149455546,0.6178002476133554,0.8795083104414667,0.7592787723211782,0.8361113804499738
000007.XSHE,10,0,-0.1541102274092711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000008.XSHE,10,0,0.1793887785549435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000009.XSHE,10,1,-0.1869254208408268,0.7725801461703401,0.15430339434352752,0.4872066499160911,0.6426037160194195,0.15673163131950965,0.5721642165944267,0.5275099059811024,0.9132008261638827,0.3936260276194351,0.4988133672469677,0.0061678305682154036,0.04968585579426648,0.020269244787558902,0.0024604961375950017,0.009661276414000556,0.010028801700979839,0.0006583886391565317,0.6549408546006596,0.08568992042063546,0.17146197106461528,0.007262477625483555,0.0981734395238847,0.75,0.10457618532740774,0.6820885640050476,0.03780912348518903,0.09567764979732711,0.9461307543686241,0.5992030477385274,0.23452057225297718,0.07818930041152265,0.454163776601872,0.11069006451612902,0.2853227513862142,0.04210315582113684,0.3708058073626477,0.18567508715289682,0.5531560280084147,0.05932469986031097,0.7515779550078677,0.3338092839594421,0.13061510524850478,0.27727441326805,0.6946311729889939,0.01662940538518561,0.2812931192803819,0.31068965343361765,0.04198965723574353,0.01662940538518561,0.2512874988423035,0.3855835043911678,0.033810336434530096,0.4790527276065703,0.033954757909944844,0.44393250801069706,0.06069834603050643,0.0641747332887764,0.9225238656712869,0.7664651157375778,0.314318464208563,0.034938112796576194,0.12652949065042737,0.12288601474873431,0.00033123036320029147,0.5786336603099437,0.6094786203834737,0.6220588729836671,0.8553394811107045
000010.XSHE,10,0,-0.004917790788122142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000011.XSHE,10,1,-0.1341785838738989,0.25622652623979664,0.09765141516365311,0.5323473326358688,0.3667880039342773,0.42518823499816694,0.5166638958702093,0.47209107054934224,0.9919565209931028,0.609822663396331,0.4020812697044268,0.0045382712195093265,0.04716523613026012,0.020065875915582204,0.0009257579539153044,0.004276141177292539,0.004549477937855966,0.0004824984221319048,0.6428019842020652,0.07171844531306888,0.1701225938407094,0.006314860020434117,0.0151082482804322,0.08333333,0.0,0.6707025811234925,0.0022946258038354715,0.0,0.9459584016745353,0.7187260575548419,1.0,0.0,0.3367932412924288,0.0037956129032258035,0.6549310626830025,0.11447379606106341,0.2932622040414112,0.08770380759458468,0.4969156190611693,0.04962656641822411,0.7128021997725151,0.2302781906847129,0.11283091278245524,0.2737121355666102,0.6912331238705981,0.008369497393310093,0.26336378232947,0.289657218773561,0.055948631130236536,0.008369497393310093,0.257158774216906,0.3844099786669004,0.036159634467764934,0.4809954981990619,0.04791912822766449,0.3705633878529131,0.05628647222330435,0.04824324970392437,0.9285979267961432,0.8256932704497703,0.3442142852644241,0.02371245383180012,0.23516083337350616,0.09667315111755034,0.00020951852193328726,0.2115320830063021,0.3560143178223596,0.319272719120268,0.682248023205148
000012.XSHE,10,1,-0.1387020091620123,0.8311526723787335,0.3173248028176859,0.5165041518143281,0.6169175583284789,0.17226497215887812,0.6346502041515585,0.38303586082389623,0.8249848391181638,0.3354974960612954,0.5622149362692345,0.009981080561728887,0.05515870662313245,0.021833746840648566,0.0030562691539289238,0.02263774782574733,0.00810995770071741,0.0008139747392896819,0.6230213560307074,0.08886035083451017,0.17639926643554227,0.009308686892536104,0.07639809467163271,0.66666667,0.07221776938200831,0.672942989657475,0.008042674511653395,0.09619938194806757,0.9405219939410819,0.34497616740325,0.1076773368435368,0.3415637860082305,0.21905751617006575,0.680582193548387,0.14611630540422837,0.014394293129746685,0.27062322423244517,0.09578855017142196,0.49664630738117255,0.17200151511322537,0.6687725877882779,0.22921220725352123,0.24387155411966466,0.28369157380927856,0.7233252098866783,0.024728932167693677,0.3301434998606193,0.3476067107801042,0.1539490685827214,0.024728932167693677,0.23533514261417693,0.3877129232993033,0.03155481817283664,0.48029719288798184,0.041434231534958905,0.36853780454873675,0.16056198744103767,0.00924468973616218,0.9239630823029661,0.7610858627791112,0.3100314633187368,0.03144149270936909,0.036934273097039394,0.0583221279851536,0.00034518410755011774,0.7661006150925923,0.8099114847803763,0.805686645966214,0.5070305204391353
000014.XSHE,10,1,-0.2374620501743382,0.7550248319103203,0.14963424489025445,0.4930869507091965,0.33741963443039563,0.15391418159508777,0.3130882283165256,0.4663577641790344,0.9168433597788791,0.38481575221110004,0.2423102605474503,0.0030071764527082366,0.04689928217886145,0.019463735295633326,0.00044226747780833997,0.004859091992895464,0.001686177560556661,0.0004154605561090944,0.6428382109689609,0.07160246118579937,0.16974127016324608,0.006387212568846607,0.018212694992683163,0.5833333300000001,0.01851744871862527,0.6774155004828587,0.002707787364044653,0.07725649155195248,0.9400651670730319,0.26720238159040877,0.20886357479316964,0.23045267489711935,0.2522064572421552,0.29095535483870966,0.20265401591573673,0.04095508572339503,0.26699035910329116,0.06612376011107017,0.5245378509944206,0.049795840235725586,0.6861963256443051,0.2515664474093647,0.14651230168999696,0.2993347407887398,0.7099624653557184,0.0273598742960959,0.30664292254892883,0.31480781133054314,0.2107282813031459,0.0273598742960959,0.28923187889231594,0.38253781970769396,0.04611452801669341,0.4805034062877161,0.04198616230707063,0.3780231677563981,0.04583157549938339,0.05721541294628411,0.9246875155022429,0.8307168272762867,0.34084986049792476,0.031128762010556952,0.08490023045186441,0.09896555372869492,0.00034649757297768415,0.7153776432068885,0.7595216293459872,0.8014578125525449,0.5380031990766158
